,id_ristorante,Location,Regione,Provincia,data,scontrini,lordototale,Prezzo_medio_per_scontrino,Giorno,Month,Year,Season,Weekend,Festivo,Popolazione,Precipitazioni(mm),Pioggia,ColoreCOVID,Dose1,Dose2,DoseUnica,Booster1,Booster3Dosi,Booster2,Dose1Cum,Dose2Cum,DoseUnicaCum,Booster1Cum,Booster3DosiCum,Booster2Cum,BENZINA,GASOLIO_AUTO,GPL,GASOLIO_RISCALDAMENTO,O.C._FLUIDO_BTZ,O.C._DENSO_BTZ,BENZINA/LITRO,GASOLIO_AUTO/LITRO,GPL/LITRO,GASOLIO_RISCALDAMENTO/LITRO,O.C._FLUIDO_BTZ/LITRO,O.C._DENSO_BTZ/LITRO
3278,R005,Voghera,Lombardia,Pavia,2018-04-27,,,,Friday,4,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3279,R005,Voghera,Lombardia,Pavia,2018-04-28,,,,Saturday,4,2018,Spring,True,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3280,R005,Voghera,Lombardia,Pavia,2018-04-29,,,,Sunday,4,2018,Spring,True,True,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3281,R005,Voghera,Lombardia,Pavia,2018-04-30,,,,Monday,4,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,1585.17,1462.9,645.42,1263.83,841.09,423.44,1.58517,1.4629,0.64542,1.26383,0.84109,0.42344
3282,R005,Voghera,Lombardia,Pavia,2018-05-01,22318.0,426000.6,19.087758759745498,Tuesday,5,2018,Spring,False,True,39354,6.6,True,,,,,,,,,,,,,,,,,,,,,,,,,
3283,R005,Voghera,Lombardia,Pavia,2018-05-02,,,,Wednesday,5,2018,Spring,False,False,39354,10.6,True,,,,,,,,,,,,,,,,,,,,,,,,,
3284,R005,Voghera,Lombardia,Pavia,2018-05-03,,,,Thursday,5,2018,Spring,False,False,39354,2.6,True,,,,,,,,,,,,,,,,,,,,,,,,,
3285,R005,Voghera,Lombardia,Pavia,2018-05-04,,,,Friday,5,2018,Spring,False,False,39354,6.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
3286,R005,Voghera,Lombardia,Pavia,2018-05-05,,,,Saturday,5,2018,Spring,True,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3287,R005,Voghera,Lombardia,Pavia,2018-05-06,,,,Sunday,5,2018,Spring,True,True,39354,1.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
3288,R005,Voghera,Lombardia,Pavia,2018-05-07,,,,Monday,5,2018,Spring,False,False,39354,1.4,True,,,,,,,,,,,,,,1592.6,1470.26,644.96,1262.93,849.5,428.81,1.5926,1.47026,0.6449600000000001,1.26293,0.8495,0.42881
3289,R005,Voghera,Lombardia,Pavia,2018-05-08,,,,Tuesday,5,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3290,R005,Voghera,Lombardia,Pavia,2018-05-09,,,,Wednesday,5,2018,Spring,False,False,39354,1.6,True,,,,,,,,,,,,,,,,,,,,,,,,,
3291,R005,Voghera,Lombardia,Pavia,2018-05-10,,,,Thursday,5,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3292,R005,Voghera,Lombardia,Pavia,2018-05-11,,,,Friday,5,2018,Spring,False,False,39354,0.4,True,,,,,,,,,,,,,,,,,,,,,,,,,
3293,R005,Voghera,Lombardia,Pavia,2018-05-12,,,,Saturday,5,2018,Spring,True,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3294,R005,Voghera,Lombardia,Pavia,2018-05-13,,,,Sunday,5,2018,Spring,True,True,39354,3.8,True,,,,,,,,,,,,,,,,,,,,,,,,,
3295,R005,Voghera,Lombardia,Pavia,2018-05-14,,,,Monday,5,2018,Spring,False,False,39354,1.0,True,,,,,,,,,,,,,,1605.99,1483.45,649.46,1283.44,871.16,453.41,1.60599,1.48345,0.64946,1.2834400000000001,0.8711599999999999,0.45341000000000004
3296,R005,Voghera,Lombardia,Pavia,2018-05-15,,,,Tuesday,5,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3297,R005,Voghera,Lombardia,Pavia,2018-05-16,,,,Wednesday,5,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3298,R005,Voghera,Lombardia,Pavia,2018-05-17,,,,Thursday,5,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3299,R005,Voghera,Lombardia,Pavia,2018-05-18,,,,Friday,5,2018,Spring,False,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3300,R005,Voghera,Lombardia,Pavia,2018-05-19,,,,Saturday,5,2018,Spring,True,False,39354,,,,,,,,,,,,,,,,,,,,,,,,,,,
3301,R005,Voghera,Lombardia,Pavia,2018-05-20,,,,Sunday,5,2018,Spring,True,True,39354,0.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
