data,scontrini,lordototale,id_ristorante
20180429,0.0,0.0,R003
20180429,0.0,0.0,R004
20180429,0.0,0.0,R001
20180429,0.0,0.0,R000
20180429,0.0,0.0,R005
20180430,0.0,0.0,R004
20180430,0.0,0.0,R003
20180430,0.0,0.0,R005
20180430,0.0,0.0,R001
20180430,0.0,0.0,R000
20180501,22136.0,260955.00000000003,R003
20180501,27828.0,736354.8,R001
20180501,19669.0,427277.7,R000
20180501,25505.0,524088.9,R004
20180501,22318.0,426000.6,R005
20180502,0.0,0.0,R003
20180502,0.0,0.0,R005
20180502,0.0,0.0,R001
20180502,0.0,0.0,R004
20180502,0.0,0.0,R000
20180503,0.0,0.0,R004
20180503,0.0,0.0,R003
20180503,0.0,0.0,R000
20180503,0.0,0.0,R005
20180503,0.0,0.0,R001
20180504,0.0,0.0,R001
20180504,0.0,0.0,R004
20180504,0.0,0.0,R005
20180504,0.0,0.0,R000
20180504,0.0,0.0,R003
20180505,0.0,0.0,R004
20180505,0.0,0.0,R000
20180505,0.0,0.0,R005
20180505,0.0,0.0,R001
20180505,0.0,0.0,R003
20180506,0.0,0.0,R004
20180506,0.0,0.0,R000
20180506,0.0,0.0,R001
20180506,0.0,0.0,R005
20180506,0.0,0.0,R003
20180507,0.0,0.0,R000
20180507,0.0,0.0,R005
20180507,0.0,0.0,R004
20180507,0.0,0.0,R003
20180507,0.0,0.0,R001
20180508,0.0,0.0,R001
20180508,0.0,0.0,R003
20180508,0.0,0.0,R005
20180508,0.0,0.0,R004
20180508,0.0,0.0,R000
20180509,0.0,0.0,R004
20180509,0.0,0.0,R001
20180509,0.0,0.0,R000
20180509,0.0,0.0,R005
20180509,0.0,0.0,R003
20180510,0.0,0.0,R003
20180510,0.0,0.0,R000
20180510,0.0,0.0,R005
20180510,0.0,0.0,R004
20180510,0.0,0.0,R001
20180511,0.0,0.0,R005
20180511,0.0,0.0,R004
20180511,0.0,0.0,R000
20180511,0.0,0.0,R001
20180511,0.0,0.0,R003
20180512,0.0,0.0,R004
20180512,0.0,0.0,R003
20180512,0.0,0.0,R000
20180512,0.0,0.0,R005
20180512,0.0,0.0,R001
20180513,0.0,0.0,R000
20180513,0.0,0.0,R004
