,LOCALITA,DATA,TMEDIA °C,TMIN °C,TMAX °C,PUNTORUGIADA °C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,PRESSIONEMEDIA mb,PIOGGIA mm,FENOMENI
380,Pavia,2019-08-16,14.0,8.0,19.0,7.0,64.0,19.0,5.0,9.0,0.0,1019.0,0.0,0.0,
381,Pavia,2019-08-17,15.0,8.0,22.0,7.0,61.0,19.0,5.0,9.0,0.0,1020.0,0.0,0.0,
382,Pavia,2019-08-18,16.0,9.0,21.0,7.0,59.0,20.0,11.0,18.0,0.0,1024.0,0.0,0.0,
383,Pavia,2019-08-19,16.0,9.0,21.0,7.0,57.0,19.0,7.0,13.0,0.0,1029.0,0.0,0.0,
384,Pavia,2019-08-20,17.0,8.0,22.0,7.0,57.0,20.0,6.0,15.0,0.0,1026.0,0.0,0.0,
385,Pavia,2019-08-21,18.0,11.0,23.0,6.0,49.0,19.0,7.0,13.0,0.0,1020.0,0.0,0.0,
386,Pavia,2019-08-22,16.0,13.0,19.0,7.0,56.0,19.0,13.0,24.0,0.0,1013.0,0.0,0.0,
387,Pavia,2019-08-23,13.0,12.0,15.0,12.0,92.0,13.0,14.0,24.0,0.0,1005.0,0.0,0.0,pioggia 
388,Pavia,2019-08-24,15.0,14.0,18.0,14.0,90.0,18.0,11.0,18.0,0.0,1012.0,0.0,0.0,pioggia temporale 
389,Pavia,2019-08-25,14.0,9.0,17.0,12.0,91.0,11.0,8.0,15.0,0.0,1018.0,0.0,0.0,pioggia nebbia 
390,Pavia,2019-08-26,15.0,11.0,20.0,11.0,77.0,16.0,14.0,24.0,0.0,1013.0,0.0,0.0,pioggia temporale 
391,Pavia,2019-08-27,15.0,5.0,22.0,5.0,55.0,20.0,9.0,15.0,0.0,1015.0,0.0,0.0,
392,Pavia,2019-08-28,16.0,11.0,21.0,5.0,40.0,19.0,13.0,28.0,0.0,1012.0,0.0,0.0,
393,Pavia,2019-08-29,12.0,8.0,16.0,6.0,70.0,19.0,8.0,15.0,0.0,1014.0,0.0,0.0,
394,Pavia,2019-08-30,15.0,5.0,23.0,5.0,59.0,21.0,8.0,13.0,0.0,1012.0,0.0,0.0,
395,Pavia,2019-08-31,8.0,7.0,8.0,7.0,93.0,8.0,5.0,13.0,0.0,1020.0,0.0,0.0,pioggia 
700,Pavia,2019-09-01,2.0,1.0,4.0,1.0,98.0,10.0,5.0,11.0,0.0,1012.0,0.0,0.0,pioggia neve 
701,Pavia,2019-09-02,2.0,1.0,3.0,2.0,100.0,3.0,5.0,11.0,0.0,1008.0,0.0,0.0,nebbia 
702,Pavia,2019-09-03,3.0,1.0,6.0,3.0,98.0,6.0,13.0,30.0,0.0,999.0,0.0,0.0,pioggia 
703,Pavia,2019-09-04,3.0,2.0,4.0,2.0,98.0,8.0,7.0,15.0,0.0,999.0,0.0,0.0,pioggia 
704,Pavia,2019-09-05,4.0,2.0,5.0,3.0,99.0,4.0,6.0,11.0,0.0,998.0,0.0,0.0,pioggia 
705,Pavia,2019-09-06,4.0,3.0,6.0,4.0,97.0,9.0,8.0,21.0,0.0,1002.0,0.0,0.0,pioggia nebbia 
706,Pavia,2019-09-07,6.0,5.0,7.0,5.0,97.0,12.0,6.0,11.0,0.0,1002.0,0.0,0.0,pioggia 
707,Pavia,2019-09-08,6.0,5.0,7.0,6.0,98.0,8.0,6.0,11.0,0.0,1002.0,0.0,0.0,pioggia 
708,Pavia,2019-09-09,6.0,2.0,9.0,5.0,96.0,16.0,4.0,8.0,0.0,1005.0,0.0,0.0,pioggia nebbia 
709,Pavia,2019-09-10,3.0,1.0,5.0,3.0,100.0,1.0,3.0,8.0,0.0,1005.0,0.0,0.0,pioggia nebbia 
710,Pavia,2019-09-11,5.0,2.0,7.0,4.0,96.0,4.0,4.0,8.0,0.0,1003.0,0.0,0.0,pioggia nebbia 
711,Pavia,2019-09-12,3.0,0.0,7.0,3.0,99.0,1.0,4.0,8.0,0.0,1011.0,0.0,0.0,nebbia 
712,Pavia,2019-09-13,1.0,-1.0,7.0,3.0,99.0,2.0,3.0,8.0,0.0,1018.0,0.0,0.0,nebbia 
713,Pavia,2019-09-14,5.0,1.0,7.0,4.0,95.0,8.0,4.0,8.0,0.0,1020.0,0.0,0.0,pioggia nebbia 
714,Pavia,2019-09-15,7.0,6.0,9.0,6.0,94.0,10.0,5.0,11.0,0.0,1023.0,0.0,0.0,pioggia 
715,Pavia,2019-09-16,8.0,6.0,9.0,7.0,96.0,6.0,4.0,8.0,0.0,1026.0,0.0,0.0,nebbia 
716,Pavia,2019-09-17,7.0,5.0,8.0,6.0,97.0,3.0,4.0,9.0,0.0,1028.0,0.0,0.0,pioggia nebbia 
717,Pavia,2019-09-18,8.0,6.0,10.0,7.0,96.0,3.0,4.0,9.0,0.0,1026.0,0.0,0.0,pioggia nebbia 
718,Pavia,2019-09-19,7.0,7.0,8.0,7.0,100.0,3.0,4.0,8.0,0.0,1025.0,0.0,0.0,pioggia 
719,Pavia,2019-09-20,8.0,8.0,9.0,8.0,97.0,3.0,5.0,9.0,0.0,1026.0,0.0,0.0,pioggia 
720,Pavia,2019-09-21,9.0,7.0,10.0,8.0,94.0,5.0,5.0,9.0,0.0,1024.0,0.0,0.0,
721,Pavia,2019-09-22,9.0,9.0,10.0,9.0,96.0,4.0,3.0,5.0,0.0,1024.0,0.0,0.0,pioggia 
722,Pavia,2019-09-23,9.0,8.0,9.0,9.0,100.0,3.0,4.0,8.0,0.0,1013.0,0.0,0.0,pioggia 
723,Pavia,2019-09-24,6.0,4.0,9.0,5.0,94.0,12.0,10.0,26.0,0.0,1009.0,0.0,0.0,pioggia nebbia 
724,Pavia,2019-09-25,3.0,0.0,8.0,2.0,89.0,21.0,4.0,9.0,0.0,1017.0,0.0,0.0,nebbia 
725,Pavia,2019-09-26,1.0,-2.0,4.0,1.0,91.0,13.0,5.0,11.0,0.0,1010.0,0.0,0.0,pioggia nebbia 
726,Pavia,2019-09-27,1.0,-3.0,1.0,1.0,96.0,5.0,8.0,17.0,0.0,990.0,0.0,0.0,pioggia neve nebbia 
727,Pavia,2019-09-28,-1.0,-5.0,1.0,0.0,97.0,3.0,4.0,13.0,0.0,997.0,0.0,0.0,pioggia neve nebbia 
728,Pavia,2019-09-29,2.0,-2.0,5.0,1.0,94.0,5.0,5.0,8.0,0.0,1004.0,0.0,0.0,nebbia 
