"","SARIMA(1,0,0)(1,1,2)","ARIMAX (2,1,3)","SARIMAX(3,1,2)(1,0,1)","SARIMAX(3,1,3)(1,0,0)","RF-ritardi","RF-regressori","RF-regressori+dummy","UCM-ritardi","UCM-regressori","UCM-regressori+dummy"
"h=51",4335.11904380636,4652.68837078742,4109.03610114638,6020.21708899321,4552.49618596664,4042.38769476296,4034.91511760383,7546.75173370594,6213.79610156768,7641.31414670205
"h=52",4340.54172420964,4666.38941738309,4227.87904529129,6037.47355649956,4531.88986017103,4028.46211503768,4065.34172727716,6476.57364216255,6340.36498701964,9405.1521383445
"h=53",4342.00428390089,4646.88479256109,4288.0885751526,5836.7942870128,4606.62253603958,4060.12785199485,4064.59870570549,5200.1300409459,6437.61163198302,8827.92375333158
"h=54",4352.41236451245,4596.08979231045,4206.28302304808,5746.81862132525,4646.13215634607,4083.50391755456,4106.18907922228,6138.89104988526,6062.70106990978,10559.3043861174
"h=55",4354.73754919317,4536.89135535706,4132.01601695386,5697.50438276282,4598.57357500887,4109.96504425068,4124.1177052178,6265.83330958343,5666.07929037595,14692.668109267
"h=56",4356.29999697572,4484.85007260221,4181.56052362755,5642.77182954186,4644.91000751793,4130.89301780738,4153.51133879509,4844.86464372584,5278.50380354257,12295.3580649151
"h=57",4412.30173522579,4648.26501324677,4212.09044796963,5780.73760825088,4624.46491301928,4210.35915504759,4250.8613888218,6222.82393116915,5736.99993250344,8930.0566370621
"h=58",4437.50758913472,4751.79103052924,4249.45011666697,5849.91449303421,4714.44957943112,4250.6043378508,4225.58190222773,8365.93219124627,6369.24686052656,9655.44258532631
"h=59",4439.28761494933,4760.30920089509,4105.30993952652,5778.079567528,4635.98278800519,4260.13914739326,4250.71682827615,7381.29852455304,6384.42531127515,10125.2284849429
"h=60",4433.75825062876,4671.23463235339,3833.01595540934,5618.05257014806,4738.9432127822,4310.95430264199,4252.02732480541,4863.34429651987,6246.51044704764,10225.6660949411
"h=61",4452.45447683152,4655.25603547276,3772.40654425207,5485.99616626808,4682.44686972577,4276.04342845211,4256.30651850968,5003.008290216,6131.18757184753,13296.9956071837
"h=62",4452.9822743429,4618.42725438146,3843.58476503022,5344.82279077218,4770.54309593784,4333.45750087883,4326.94626284106,4247.21790247623,5635.98798854888,19444.4186760574
"h=63",4451.38520202499,4637.01849979057,3927.23846108534,5140.8949134475,4820.71274702089,4320.26666694212,4351.90055350047,4257.63314458721,5550.24881611043,16183.6704052369
"h=64",4499.61696247217,4772.15282490272,4010.14002894878,4938.76521071335,4859.81241429406,4352.88574527822,4340.42623861443,5369.92211688922,6031.36729324031,10667.4028823588
"h=65",4520.11779215989,4837.39113838883,4013.95414653358,4765.76648209329,4897.41056259053,4357.77807415194,4384.08581597239,6593.40488147486,6450.66114053009,11648.1530710745
"h=66",4521.01921813172,4881.91574376735,4026.93548561123,4775.10841513608,4804.96959120597,4429.82850406106,4435.25277502271,5899.5971718027,6307.3861934013,11916.4277364517
"h=67",4518.81204763298,4820.7998478245,4027.0408211345,4765.6911376696,4951.91262641245,4431.5427249447,4431.16534913087,4725.65522880296,6348.29449970423,11961.8008033825
"h=68",4524.96128716477,4774.41856476873,4024.56984722533,4754.47128170528,4928.3661318011,4450.67719586531,4448.12212464504,5126.58761192524,6271.96722935729,16660.517124645
"h=69",4529.20556440307,4757.75365686492,3990.82171899624,4815.90109765986,4906.83003156604,4475.30260035659,4473.13508770875,4985.43217079722,5889.37593367869,25565.9140600269
"h=70",4530.57104416942,4816.0331044582,4063.96711825296,4904.27267689113,4929.87133041705,4432.19507932261,4453.88339837536,4939.63890055674,5897.42548429667,21018.9630547717
"h=71",4553.14774781345,4894.56393057338,4083.31063449092,4947.65486398236,4965.99351288612,4468.6196839781,4476.77947909631,5645.46504203662,6171.40531854291,12690.4443922323
"h=72",4573.72385991423,5005.14417581536,4141.82758468349,4836.06875427195,5025.05543365885,4477.36210760198,4438.76207232598,6602.3391349474,6562.94171551034,13847.9267737148
"h=73",4572.40349977646,5039.72447606988,4201.78062970097,4858.50679360066,4896.90726271866,4486.60458636882,4512.65902748221,5988.10763034609,6366.13392629055,14096.8114975095
