"","SARIMA(1,0,2)(0,1,2)","SARIMAX(1,1,3)(1,0,0)","SARIMAX(1,1,2)(1,0,1)","SARIMAX(1,0,2)(1,0,2)","RF-ritardi","RF-regressori","RF-regressori+dummy","UCM-ritardi","UCM-regressori","UCM rit + reg + colori","UCM-regressori+dummy"
"h=39",3149.73323994015,3317.59120475089,4049.41534643799,3397.273883074,2894.43166839623,2643.52832830189,2652.86427665094,2993.40915275284,3021.06671549924,4476.54224267563,2959.96239706143
"h=40",3216.61533124005,3326.49068920038,3918.63442586704,3558.74925397084,2903.10797555205,2614.89731167192,2630.83901025237,2983.1959558976,2937.7809596559,4379.20294813328,2943.44931985902
"h=41",3308.85936974473,3349.74310685957,3808.50676408645,3585.84354314739,2959.64030079114,2585.49444825949,2655.96600545886,2912.11915552969,2868.09583399984,4306.8214443032,2893.54377017923
"h=42",3391.41622667288,3346.26062097168,3748.88351685323,3626.4591945187,2944.66432142857,2627.69679142857,2640.46896214286,2928.95486322837,2893.71487031691,4386.25668595303,2867.76632216243
"h=43",3373.5305319866,3345.82702527978,3805.85432806326,3678.3139509016,3022.53613781847,2738.78687292994,2683.90704840764,2989.24344922077,2947.54858741843,4397.0662396723,2921.12414009252
"h=44",3324.92516070865,3371.8766470864,3798.84013883716,3612.35613921273,3018.84188434505,2686.73681070288,2687.283435623,3080.52983233295,3053.02584593789,4553.38006620578,3036.61908557235
"h=45",3276.01842070506,3360.50047535774,3982.86245192916,3457.1156186576,2957.30341298077,2667.75780432692,2693.89351658654,3014.67351796857,2989.26488236212,4446.23614300468,3016.08230841854
"h=46",3130.38418976048,3244.06574727512,3844.10663441656,3292.16838602862,2967.21392845659,2713.9359016881,2698.60605462584,3002.71236308805,2938.51936436628,4486.71969566425,3016.69321079012
"h=47",3212.13239778242,3262.02215322445,3806.82665015443,3445.23937816523,2987.33859798387,2736.26145217742,2718.44331967742,3040.07300950673,2947.55679180461,4548.95481261955,3049.57138684232
"h=48",3275.72677534863,3329.30540570374,3775.9340516727,3621.00131141422,2976.38878252427,2728.3403723301,2707.39886067961,3046.1577435401,2937.13227471484,4398.29398773528,3044.80564993615
"h=49",3355.95938526373,3328.79149766506,3792.55765973206,3711.43019615212,2951.92029959416,2760.96771599026,2734.11630219156,3012.76189369992,2958.3709098394,4468.5505540777,3013.6743555348
"h=50",3330.64536948134,3293.07020064442,3914.86984895054,3850.9180985542,2991.2591220684,2798.90598224756,2767.57653004886,3218.30926745448,3161.63685959201,4669.78271620689,3119.18299432183
"h=51",3323.40657798955,3330.04931421845,3897.53124277461,3787.18593146089,3000.41335882353,2774.8849125,2750.19895294118,3240.16511359822,3237.55211369667,4790.14730567013,3135.57831527
"h=52",3250.12670833441,3300.87287531248,3937.08010159652,3567.20081992633,2916.19000622951,2773.53323040984,2792.18887819672,3181.5246288534,3168.05525129626,4609.05898027671,3136.54186266214
"h=53",3094.59562075074,3194.95237074279,3710.20646301895,3423.3857641881,2898.36124046053,2760.60015444079,2788.25345970395,3166.72064942186,3129.0551328553,4648.4616803737,3139.23250941961
"h=54",3175.97269007182,3189.36863403838,3603.30422014574,3631.20597845179,2929.6543759901,2787.26171212871,2810.70521978294,3204.19588004438,3064.65189619064,4692.07913049072,3150.93087350492
"h=55",3247.07050663149,3222.81596700216,3691.81867527274,3872.25780916608,2995.34056763245,2788.34042756623,2814.66225968543,3187.99241872035,3068.153419417,4448.05876848021,3142.36199280411
"h=56",3341.61985215904,3293.63921969776,3585.736191512,3969.78385797319,2984.15017524917,2838.53017151163,2860.95610988372,3217.94891025221,3140.24046779773,4476.08560846331,3176.14643301607
"h=57",3359.06662134504,3281.51030920917,3590.16921979844,4049.16219357321,3153.378219,2901.32069775,2905.387803,3366.705285494,3284.78124906918,4833.25409004551,3310.92233924147
"h=58",3339.44798737598,3313.8747371879,3598.08218942726,3821.16570029938,3150.68810869565,2912.46458026756,2927.85850083612,3391.5965140883,3324.39304943098,4644.68540806502,3325.28679438005
"h=59",3268.89964264222,3294.62394439698,3695.80102974502,3532.09551366197,3044.32098221477,2861.14899790268,2907.84910092282,3322.72337103705,3264.46938847697,4667.98266390277,3266.69548139419
"h=60",3118.31448810964,3203.01151692098,3562.47991381402,3405.38827732732,3042.11426363636,2912.70199015152,2931.28744015152,3313.4447141204,3243.32778019397,4619.6761264036,3259.06809193163
